ell,D_ell,model,sigma_eff,z_whitened
57,1715.71938,1517.8290879492108,317.97054802835027,0.6223541559992068
58,1742.61858,1542.643205518046,319.9349685123951,0.6250500700557418
59,1467.14325,1567.3538891808605,313.25721720903016,-0.3198988999317832
60,1790.4516,1591.9635914560795,323.7541401336153,0.6130825337461427
61,1359.15415,1616.475431348882,313.0162848156835,-0.8220699491734208
62,2165.2271,1640.8931586896829,338.807379377928,1.5475871342384213
63,1742.10583,1665.2211188075185,326.1450782378368,0.23573776310803135
64,1242.4852,1689.4642175548151,314.471905474937,-1.4213639112840837
65,1853.0615,1713.6278866990287,332.37041414453,0.41951271041934285
66,1626.61637,1737.7180496956275,327.1309587255784,-0.33962447372285504
67,1659.98919,1761.7410878553756,329.60886635838983,-0.30870497805340835
68,1766.42864,1785.7038069172613,334.2585231327709,-0.05766544630368314
69,2277.66406,1809.6134040366371,352.7358638204266,1.3269154173720246
70,1860.80088,1833.4774351960832,340.31153757591454,0.08028950472424597
71,1783.70715,1857.303783044551,339.63160101664533,-0.2166954807039409
72,1511.90025,1881.1006251682834,333.85057306282187,-1.1058851023712626
73,2701.12709,1904.876402794971,375.240963471459,2.1219716521317165
74,2013.69273,1928.6397899308965,351.8100778277896,0.24175811163299507
75,1879.90931,1952.3996629291285,349.3636485980063,-0.20749254600480527
76,1875.45523,1976.1650704856186,350.9974891437662,-0.28692467496361057
77,1919.45593,1999.945204059249,354.1225767543856,-0.2272921280449031
78,1664.60733,2023.7493687116646,348.64447524797,-1.0301096509738992
79,1496.46853,2047.5869543630074,346.2336810831902,-1.5917527799110596
80,2318.10662,2071.4674074609666,372.6239309344329,0.6618984774287946
81,2045.53573,2095.4002030623565,365.40638699007576,-0.1364630582215595
82,2821.4292,2119.3948173293784,395.1667275033338,1.7765523608378668
83,2135.83446,2143.4607004463905,372.09707402589925,-0.020495298078747316
84,1542.66778,2167.6072499675906,357.2539634516821,-1.7492863170211195
85,2268.6746,2191.8437846114557,380.35158661033955,0.2019994607443437
86,2525.92485,2216.179518523868,391.27864123526433,0.7916234080609863
87,2180.32949,2240.6235360384635,381.40251846544226,-0.1580850757909363
88,1774.61013,2265.184766969618,371.4640667564863,-1.3206516615541573
89,2930.03972,2289.8719624804176,412.47448059858715,1.5520178523300756
90,2255.50107,2314.693671574646,389.9381135187521,-0.1517999895945018
91,2414.51603,2339.6582182675993,397.2986426639489,0.18841698333139842
92,2582.01377,2364.7736794957555,405.20478258888534,0.5361242014871603
93,2814.58993,2390.0478638287072,415.83516689292037,1.0209383428136432
94,2153.76783,2415.488291048989,395.1377138725178,-0.662352521312171
95,2158.69964,2441.102172665402,397.4528524928378,-0.7105308991850581
96,2367.99928,2466.896393423617,406.236432951483,-0.24344717854350717
97,2663.32976,2492.877493873859,418.4976434410312,0.40729564143927843
98,2222.54729,2519.051654049429,405.95761457754105,-0.7303825655739596
99,3013.83617,2545.424678301993,435.7883303139482,1.0748601077971882
100,2919.08745,2572.001981329967,434.24861066223747,0.7992782478698577
101,2782.38348,2598.788575425755,431.31203218331257,0.42566608597697325
102,2896.76227,2625.789058955879,437.66067440355755,0.6191399568019272
103,2626.14993,2653.007606076195,430.15146924728134,-0.06243771786527396
104,3029.25427,2680.4479576725207,446.93882997651946,0.7804341196888268
105,2267.54847,2708.113413505843,423.07144099864263,-1.041348814436416
106,2792.25466,2736.006825530842,442.5734117541779,0.1270926652512064
107,3323.76585,2764.130592347588,464.88977955111625,1.2038020241976044
108,3927.24232,2792.4866547388915,492.66422226445053,2.30330438862678
109,3033.82038,2821.0764922399194,457.9657333849153,0.46454106115680005
110,3429.38387,2849.9011206829014,475.5403996256263,1.2185773275484102
111,2910.10496,2878.9610906574985,457.8805856419619,0.06801744891375333
112,3039.35904,2908.2564868267536,464.79980457644353,0.28206241027298956
113,2337.90275,2937.786928039627,443.71766706860814,-1.3519501758916266
114,2209.15272,2967.551568183022,442.3561880382804,-1.7144528972145678
115,3343.44611,2997.54909771947,482.9190976537867,0.7162628563687693
116,4337.15308,3027.77774586055,527.5067932088771,2.4821961555687038
117,4457.74454,3058.235283330291,535.1282670400535,2.6152781358585147
118,3457.02104,3088.919025677676,493.91728598753343,0.7452705640507084
119,3135.9129,3119.8258371018874,483.946618248669,0.033241399550076677
120,2669.67726,3150.952134758551,470.27522317877924,-1.0233898173614606
121,4125.21641,3182.293893519617,528.1717115659605,1.7852575134793571
122,3450.49755,3213.8466511633806,502.40126419246576,0.47103961654435744
123,4116.21935,3245.6055139747878,531.9229691020469,1.6367291630495269
124,2948.81885,3277.5651627392303,488.6295451708086,-0.6727925398459307
125,3271.639,3309.7198591156002,502.27318272492636,-0.0758170263222183
126,3324.06505,3342.0634523764966,506.3839962749674,-0.03554299209472499
127,3716.67835,3374.589386505303,523.653868728693,0.6532730567334634
128,3804.63957,3407.2907076408596,529.3046991615247,0.7506996688081238
129,2897.9602,3440.1600718616123,498.2067956295292,-1.0883028425505394
130,4032.31034,3473.189753301506,542.8304822633264,1.030009560935573
131,3245.23913,3506.371652590171,514.4688748671477,-0.5075769115431983
132,2891.49353,3539.697305610176,504.6922794714561,-1.2843544511697573
133,3885.60051,3573.157892563686,542.9942790018747,0.5754068311928487
134,3560.18902,3606.744247340833,532.3981074996693,-0.08744438923623023
135,4312.22189,3640.446867181591,564.800147485997,1.1894030584244206
136,4669.22603,3674.2559226223393,582.4541112959714,1.7082377617076703
137,4062.89976,3708.161267718056,558.3009035887108,0.6353894288934782
138,3946.39273,3742.152450530245,555.5753963616723,0.3676193740890521
139,4219.05142,3776.2187238702186,568.6810652134428,0.7787013199807752
140,3815.06138,3810.349056286905,554.3874745438915,0.008500054437506767
141,4204.90825,3844.5321432875785,571.9345764020032,0.6301002275111963
142,4515.26536,3878.756418779701,586.9593469748643,1.0844174209011392
